cell,x_cm,g1,g2,g3,g4,g5,g6,g7
69,7.1944443881511697,0.30314028694292611E+20,0.84287542690919088E+20,0.31285855450567725E+20,0.80200286930891387E+19,0.33032002711654190E+19,0.91311094994664000E+18,0.40906787284294643E+18
70,7.2988888323307046,0.30273963485762449E+20,0.84192275902921114E+20,0.31289109532744139E+20,0.80430620668543816E+19,0.33162540585542753E+19,0.93824649890291085E+18,0.42144729154277734E+18
71,7.4033332765102395,0.30226769997062050E+20,0.84067607848486502E+20,0.31309905198765732E+20,0.80865905265609974E+19,0.33403913859447767E+19,0.98147332076924634E+18,0.44267641209352147E+18
72,7.5077777206897744,0.30172160883220935E+20,0.83913200308023116E+20,0.31348258573094679E+20,0.81507322575438377E+19,0.33756928348361733E+19,0.10436569772181494E+19,0.47320256481291789E+18
73,7.6133332749207820,0.30113211825635631E+20,0.83705238047529189E+20,0.31409917789147320E+20,0.82350031640855706E+19,0.34329559621176064E+19,0.11421484106780948E+19,0.55076917812461210E+18
74,7.7199999392032641,0.30076525211421118E+20,0.83579973902507426E+20,0.31412863242561741E+20,0.82579512374155633E+19,0.34525269372482273E+19,0.11794857748645164E+19,0.58890092390647437E+18
75,7.8266666034857444,0.30058590114699416E+20,0.83560556088753553E+20,0.31351717605926814E+20,0.82204484933423964E+19,0.34237669827795169E+19,0.11397418877778529E+19,0.54913487559007616E+18
76,7.9322221577167529,0.30059445996735390E+20,0.83638263621610996E+20,0.31236883471452926E+20,0.81216285470088940E+19,0.33587949496850104E+19,0.10393538519439411E+19,0.47057190036159789E+18
77,8.0366666018962878,0.30052558108152566E+20,0.83677144020550484E+20,0.31150225245674402E+20,0.80427499636939244E+19,0.33171647676159447E+19,0.97550138027782310E+18,0.43947010902853728E+18
78,8.1411110460758227,0.30038297339460383E+20,0.83686462874805174E+20,0.31081034172654735E+20,0.79843724240015811E+19,0.32866199394660767E+19,0.93049126978393907E+18,0.41759757372265382E+18
79,8.2455554902553576,0.30016960998270120E+20,0.83666616137571205E+20,0.31029266602662081E+20,0.79463394457575834E+19,0.32670584057287465E+19,0.90342355724393984E+18,0.40449358858705370E+18
80,8.3499999344348925,0.29988727702597599E+20,0.83617850917797642E+20,0.30994890538282873E+20,0.79285494078680095E+19,0.32584147940737966E+19,0.89375732056636570E+18,0.39988218081830458E+18
81,8.4544443786144274,0.29953660708630524E+20,0.83540269630808474E+20,0.30977885612605628E+20,0.79309552736276716E+19,0.32606602163207516E+19,0.90129979041961357E+18,0.40366628740140243E+18
82,8.5588888227939623,0.29911709097006703E+20,0.83433831479263674E+20,0.30978243075375665E+20,0.79535644629169992E+19,0.32738021770914939E+19,0.92620247099325133E+18,0.41592570796666202E+18
83,8.6633332669734973,0.29862706841413923E+20,0.83298351294221271E+20,0.30995965787109286E+20,0.79964388729384305E+19,0.32978845939804355E+19,0.96896419172431603E+18,0.43691879052071501E+18
84,8.7677777111530322,0.29806369740496208E+20,0.83133495712519537E+20,0.31031068221165343E+20,0.80596950475489843E+19,0.33329879291922207E+19,0.10304411514710460E+19,0.46708788571919827E+18
85,8.8733332653840407,0.29745869961250173E+20,0.82914183618013741E+20,0.31088945919628722E+20,0.81428552948447232E+19,0.33898307513928653E+19,0.11277819331428398E+19,0.54372367717095027E+18
86,8.9799999296665192,0.29707495359516578E+20,0.82775427222064218E+20,0.31088250005065998E+20,0.81652418365033892E+19,0.34093646778231762E+19,0.11647120594586621E+19,0.58142400756048154E+18
87,9.0866665939490012,0.29687642199837463E+20,0.82741625328613327E+20,0.31023971328805614E+20,0.81277289656800594E+19,0.33810360641445468E+19,0.11254880458233988E+19,0.54218531902071866E+18
88,9.1922221481800079,0.29686213571722899E+20,0.82805576164841374E+20,0.30906755632262439E+20,0.80294687750811628E+19,0.33168286702081526E+19,0.10263438810085951E+19,0.46461451918465165E+18
89,9.2966665923595428,0.29676990920953287E+20,0.82832615419257684E+20,0.30817750257962660E+20,0.79509180996652718E+19,0.32756794459339581E+19,0.96328003046728269E+18,0.43390515201103405E+18
