cell,x_cm,g1,g2,g3,g4,g5,g6,g7
122,12.665393786403293,0.19275101350632841E+20,0.55461262730508657E+20,0.22638121451749618E+20,0.67355466315484918E+19,0.47575497318422282E+19,0.37843341226212347E+19,0.27862398641020652E+19
123,12.771269594984439,0.19277797692375028E+20,0.55491127400569577E+20,0.22619720147908850E+20,0.67174164487292242E+19,0.47514390216053361E+19,0.37582410651444168E+19,0.26988075604292823E+19
124,12.876042531586664,0.19293021897337057E+20,0.55580391184384573E+20,0.22573226124820136E+20,0.66658186599870177E+19,0.47395896253104957E+19,0.37082482054404495E+19,0.25412299278267320E+19
125,12.979712596209966,0.19304575676350374E+20,0.55640303394104426E+20,0.22540862737954902E+20,0.66271600100822405E+19,0.47340227661585510E+19,0.36898943077126774E+19,0.24991915624168310E+19
126,13.083382660833268,0.19311856487121093E+20,0.55681888047088878E+20,0.22517356850377888E+20,0.65994705132656527E+19,0.47299597714482944E+19,0.36767319018109046E+19,0.24692741902592604E+19
127,13.187052725456569,0.19314923973516759E+20,0.55705218915948872E+20,0.22502696778533913E+20,0.65827009194225469E+19,0.47274007117263729E+19,0.36687430797572511E+19,0.24513232298796872E+19
128,13.290722790079871,0.19313813745015382E+20,0.55710341017193964E+20,0.22496875299866796E+20,0.65768214217294449E+19,0.47263455899826258E+19,0.36659169620477957E+19,0.24452459574920591E+19
129,13.394392854703172,0.19308537535793336E+20,0.55697270790884442E+20,0.22499889648614265E+20,0.65818216027625748E+19,0.47267943434607759E+19,0.36682496898127268E+19,0.24510110187509089E+19
130,13.498062919326474,0.19299083258613961E+20,0.55665996161824842E+20,0.22511741514207994E+20,0.65977104156745882E+19,0.47287468442660198E+19,0.36757444218770258E+19,0.24686482637065155E+19
131,13.601732983949775,0.19285414953783411E+20,0.55616476482602729E+20,0.22532437042276864E+20,0.66245162004053514E+19,0.47322028987710423E+19,0.36884113367345531E+19,0.24982489040888151E+19
132,13.705403048573077,0.19267472632920613E+20,0.55548642358183739E+20,0.22561986838255366E+20,0.66622867349563290E+19,0.47371622458191053E+19,0.37062676394219525E+19,0.25399659937533240E+19
133,13.810175985175302,0.19246134203313332E+20,0.55450372262985785E+20,0.22605303726982504E+20,0.67129563241043374E+19,0.47479922513527419E+19,0.37551991367462062E+19,0.26965949406830628E+19
134,13.916051793756449,0.19237579888564486E+20,0.55410375299307127E+20,0.22620204094464442E+20,0.67301449823604572E+19,0.47526751434522245E+19,0.37796990868189609E+19,0.27825937150941932E+19
